variant,normal_score,flipped_score,antisym_score,symmetric_order_score,backbone,pair_index,dataset_index
attention_without_norm,1.3719627857208252,2.4987237453460693,-0.5633804798126221,1.9353432655334473,Ouro 2.6B Thinking,31,
mean_with_norm,0.058209676295518875,2.611536979675293,-1.276663651689887,1.334873327985406,Ouro 2.6B Thinking,31,
mean_without_norm,1.0080223083496094,2.734685182571411,-0.8633314371109009,1.8713537454605103,Ouro 2.6B Thinking,31,
attention_with_norm,1.1630109548568726,0.7001541256904602,0.23142841458320618,0.9315825402736664,Ouro 2.6B Thinking,32,
attention_without_norm,2.0449116230010986,1.3817002773284912,0.3316056728363037,1.713305950164795,Ouro 2.6B Thinking,32,
mean_with_norm,1.1873445510864258,1.363051176071167,-0.0878533124923706,1.2751978635787964,Ouro 2.6B Thinking,32,
mean_without_norm,1.596408486366272,1.8621127605438232,-0.13285213708877563,1.7292606234550476,Ouro 2.6B Thinking,32,
attention_with_norm,2.0191352367401123,0.7276216745376587,0.6457567811012268,1.3733784556388855,Ouro 2.6B Thinking,33,
attention_without_norm,1.9523589611053467,1.6596338748931885,0.1463625431060791,1.8059964179992676,Ouro 2.6B Thinking,33,
mean_with_norm,1.9743704795837402,0.6600119471549988,0.6571792662143707,1.3171912133693695,Ouro 2.6B Thinking,33,
mean_without_norm,2.1249759197235107,1.7282016277313232,0.19838714599609375,1.926588773727417,Ouro 2.6B Thinking,33,
attention_with_norm,1.8158175945281982,0.35413774847984314,0.7308399230241776,1.0849776715040207,Ouro 2.6B Thinking,34,
attention_without_norm,2.2482850551605225,1.4172680377960205,0.415508508682251,1.8327765464782715,Ouro 2.6B Thinking,34,
mean_with_norm,0.7953025698661804,1.458959698677063,-0.3318285644054413,1.1271311342716217,Ouro 2.6B Thinking,34,
mean_without_norm,1.2236621379852295,1.985988736152649,-0.3811632990837097,1.6048254370689392,Ouro 2.6B Thinking,34,
attention_with_norm,2.2568838596343994,0.17450398206710815,1.0411899387836456,1.2156939208507538,Ouro 2.6B Thinking,35,
attention_without_norm,2.5235602855682373,0.81447833776474,0.8545409739017487,1.6690193116664886,Ouro 2.6B Thinking,35,
mean_with_norm,2.358518362045288,0.23691709339618683,1.0608006343245506,1.2977177277207375,Ouro 2.6B Thinking,35,
mean_without_norm,2.7035939693450928,0.7231797575950623,0.9902071058750153,1.7133868634700775,Ouro 2.6B Thinking,35,
attention_with_norm,2.7734601497650146,0.37500715255737305,1.1992264986038208,1.5742336511611938,Ouro 2.6B Thinking,36,
attention_without_norm,3.0001742839813232,0.8859333395957947,1.0571204721927643,1.943053811788559,Ouro 2.6B Thinking,36,
mean_with_norm,2.7548329830169678,0.0078664505854249,1.3734832662157714,1.3813497168011963,Ouro 2.6B Thinking,36,
mean_without_norm,3.085298776626587,0.521098256111145,1.282100260257721,1.803198516368866,Ouro 2.6B Thinking,36,
attention_with_norm,1.7396466732025146,0.6830304265022278,0.5283081233501434,1.2113385498523712,Ouro 2.6B Thinking,37,
